2,9,11
17,11,9
256,249,262
259,262,249
271,262,259
6,9,2
11,17,19
283,276,279
265,276,271
271,259,265
302,304,301
302,305,304
306,305,302
299,302,301
298,302,299
239,247,235
260,246,256
274,279,276
274,265,269
276,265,274
267,268,255
251,265,259
35,41,30
306,302,303
303,302,298
298,297,303
229,239,228
228,239,235
235,223,228
228,223,217
247,239,250
271,276,278
278,276,283
277,281,284
285,278,283
284,281,288
288,291,284
300,297,295
217,223,210
269,265,257
265,251,257
257,264,269
25,35,30
30,19,25
25,19,17
31,35,25
50,41,46
41,35,46
21,25,17
31,25,21
31,21,24
24,21,15
22,27,18
27,24,18
18,24,15
134,122,124
240,239,229
240,250,239
253,240,246
250,240,253
271,278,273
273,278,281
281,277,273
273,262,271
280,277,284
286,288,281
281,278,286
278,285,286
294,297,298
284,291,287
287,280,284
264,257,252
261,264,252
241,254,252
252,254,261
102,106,95
95,106,100
102,95,90
90,95,84
84,78,90
90,78,85
56,62,50
50,46,56
40,35,31
40,46,35
13,17,9
13,21,17
9,6,13
13,6,4
15,21,13
22,18,12
12,3,5
10,18,15
1,3,10
3,12,10
10,12,18
26,22,16
22,12,16
29,28,20
64,78,71
71,78,84
44,39,33
33,39,26
44,52,54
37,52,44
37,29,36
28,29,37
44,33,37
37,33,28
137,134,124
124,130,137
149,157,148
134,137,148
148,137,149
157,165,148
142,136,151
151,156,142
151,136,143
270,273,277
270,260,256
256,262,270
262,273,270
266,260,270
298,299,296
296,294,298
293,295,297
297,294,293
291,295,293
293,287,291
293,294,290
290,287,293
290,289,282
282,287,290
280,287,282
272,280,282
245,254,241
248,254,245
261,254,263
81,86,91
94,87,82
100,105,94
112,105,118
126,131,118
88,95,100
88,94,82
100,94,88
84,95,88
74,80,85
74,78,64
85,78,74
79,80,69
80,74,69
102,90,96
96,90,85
150,133,142
142,156,150
155,147,141
141,150,155
133,150,141
120,108,116
109,108,120
66,70,62
62,56,66
31,24,34
34,40,31
34,24,27
46,40,47
8,13,4
15,13,8
8,4,1
1,10,8
8,10,15
23,16,14
23,14,20
20,28,23
26,16,23
23,33,26
28,33,23
14,16,7
7,12,5
7,16,12
36,51,42
42,51,52
42,37,36
52,37,42
117,130,124
99,93,87
99,105,112
87,94,99
99,94,105
86,93,98
98,91,86
101,91,98
241,234,233
233,245,241
156,172,171
171,185,178
172,185,171
160,172,156
156,151,160
143,164,160
160,151,143
266,270,275
275,270,277
272,266,275
275,280,272
277,280,275
294,296,292
290,294,292
292,289,290
258,254,248
258,263,254
268,263,258
258,255,268
258,248,255
224,233,234
222,233,224
230,224,234
218,224,230
112,118,125
125,117,112
130,117,125
125,118,131
100,106,113
113,105,100
113,118,105
126,118,113
113,119,126
106,119,113
79,69,68
68,69,58
58,69,59
59,51,58
52,51,59
64,54,59
59,54,52
59,74,64
59,69,74
102,96,107
85,80,92
92,96,85
149,137,144
144,137,130
181,191,177
135,141,147
147,140,135
142,133,128
133,120,128
128,136,142
128,120,116
38,34,27
57,56,46
46,47,57
57,66,56
40,34,45
45,47,40
34,38,45
111,110,101
101,98,111
111,117,124
124,122,111
122,110,111
222,224,211
211,224,218
211,213,222
211,204,213
163,150,156
156,171,163
155,150,163
163,169,155
163,171,178
178,169,163
227,237,231
229,228,221
205,210,203
217,210,205
212,219,209
216,219,227
209,219,216
216,201,209
208,201,216
178,185,190
190,185,195
154,140,147
153,145,139
139,131,126
139,145,131
89,80,79
89,92,80
103,107,96
96,92,103
130,125,138
138,144,130
138,125,131
131,145,138
159,145,153
170,181,177
177,165,170
170,165,157
133,141,129
141,135,129
127,135,140
66,73,75
75,86,81
81,70,75
70,66,75
87,93,83
83,93,86
86,75,83
83,75,73
82,87,77
87,83,77
77,83,73
32,38,27
32,22,26
32,27,22
