State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Texas	64287	62337	60982	59771	57918	56559	55929	55306	54466	53407	52080	51035	49771	48577	47687	46911	45113	43777	42352	41015	39842	38842	37856	36607	35384	34246	33214	32179	31394	30394	29112	27991	26973	26111	25276	24617	23768	22802	21942	21061	20192	19455	19099	18257	17758	16836	15916	14624	14212	13735	12958	12033	10563	9717	8653	7583	7007	6363	5704	4954	4268	3604	3085	2663	2225	1915	1576	1211	894	702	365	338	304	230	107	76	60	59	51	38	23	21	21	16	11	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utah	9282	9282	9282	8951	8715	8616	8524	8396	8260	8060	7874	7718	7529	7384	7239	7073	6914	6754	6622	6442	6369	6253	6107	5928	5727	5599	5453	5324	5176	4986	4832	4676	4500	4343	4239	4122	3952	3777	3620	3454	3302	3219	3068	2938	2812	2690	2550	2416	2362	2304	2206	2103	1979	1848	1739	1675	1605	1422	1244	1076	1013	887	804	712	603	482	410	345	298	257	180	136	112	78	65	51	30	21	19	6	5	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vermont	981	977	975	973	971	967	962	956	956	952	950	944	943	940	940	933	933	931	931	927	926	926	920	917	915	908	905	902	897	885	878	865	861	861	854	849	841	826	824	820	816	813	811	802	779	768	759	752	748	727	711	679	628	605	575	543	512	461	389	338	320	292	256	234	211	184	158	123	95	76	53	49	33	21	18	12	8	4	4	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Virginia	44607	43611	42532	41401	40247	39334	37725	36244	35749	34948	34132	32900	32136	31137	30384	29680	28672	27810	26743	25798	25066	24080	23196	22346	21576	20264	20264	19494	18674	17740	16905	15852	14966	14346	13545	12970	12970	12374	10998	10265	9629	8989	8536	8052	7490	6888	6499	6170	5746	5273	5076	4509	4042	3645	3333	2878	2637	2407	2012	1706	1484	1250	1020	890	739	604	460	391	290	254	219	152	114	94	77	67	45	40	37	37	9	9	9	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Washington	21695	21348	21070	20761	20406	20181	20065	19828	19585	19265	19116	18970	18809	18609	18432	18288	17951	17772	17510	17327	17121	16891	16673	16387	16230	15904	15593	15459	15181	15001	14634	14326	14070	13841	13686	13520	13316	12977	12752	12494	12280	12084	11789	11800	11444	11148	10778	10693	10537	10411	10223	9884	9606	9096	8681	8383	8017	7655	7119	6818	6264	5662	5414	4896	4289	3759	3206	2581	2455	2221	1996	1790	1524	1376	1187	1006	906	769	642	568	457	365	265	162	122	102	78	70	39	27	18	11	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WestVirginia	2002	1974	1945	1905	1785	1785	1763	1747	1707	1614	1591	1540	1506	1482	1480	1453	1453	1427	1403	1376	1367	1358	1346	1322	1294	1273	1239	1220	1191	1181	1151	1124	1107	1092	1076	1050	1025	1019	980	960	928	906	887	822	773	722	718	689	631	607	591	573	520	479	412	345	320	281	237	217	189	162	145	123	113	96	49	49	38	20	16	12	8	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wisconsin	18403	18229	17706	16973	16461	15860	15583	15276	14875	14394	13883	13408	12883	12685	12541	12185	11684	11274	10902	10610	10418	10217	9938	9590	9215	8899	8565	8236	7964	7660	7313	6853	6519	6289	6081	5911	5686	5354	5050	4845	4620	4498	4342	4195	4044	3874	3721	3555	3427	3341	3213	3068	2885	2756	2578	2438	2266	2112	1916	1730	1549	1351	1221	1112	989	842	707	584	455	410	381	281	206	155	106	72	47	33	27	19	6	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wyoming	903	897	891	876	860	850	843	837	813	802	800	787	775	577	566	559	541	529	523	512	510	504	495	490	483	479	452	444	435	429	419	414	403	394	388	367	360	348	331	326	322	317	313	309	305	296	288	282	275	270	261	252	239	230	221	212	199	187	166	153	137	120	95	85	84	73	55	49	37	29	26	24	22	18	18	15	10	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AmericanSamoa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NorthernMarianaIslands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PuertoRico	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VirginIslands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DistrictofColumbia	8801	8717	8538	8492	8406	8334	8225	8110	7966	7893	7788	7551	7434	7270	7123	7042	6871	6736	6584	6485	6389	6272	6102	5899	5654	5461	5322	5170	5016	4797	4658	4323	4106	3994	3892	3841	3699	3528	3361	3206	3098	2927	2793	2666	2476	2350	2197	2058	1875	1875	1778	1660	1523	1440	1211	1097	998	902	757	653	586	586	495	401	342	304	267	231	183	137	116	98	77	71	39	31	22	17	16	10	10	10	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
