"State","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31"
"Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,5,5,5,6,8,8,9,9,9,9,9,9,9,10,10,12,12,12,13,14,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,9,9,9,10,10,10,13,15,19,24,25,27,27,33,39,41,41,43,44,45,48,51,54,54,54,56,56,58,60,60,63,63,64,64,64,66,67,67,67,67,67,69,69,69,72,73,73,73,74,77,77,77,79,79,79,79,81,82,82,82,82,82
"Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,9,12,16,21,26,37,50,70,84,107,146,165,211,248,282,309,384,464,534,607,682,727,800,878,958,1081,1142,1272,1302,1359,1479,1577,1696,1804,1884,1943,1992,2132,2221,2361,2464,2576,2632,2673,2843,2977,3139,3262,3362,3426,3480,3617,3815,3945,4075,4149,4198,4257,4399,4547,4634,4740,4817,4884,4912,4960,5118,5225,5308,5368,5426
"Indiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,6,7,12,14,18,26,31,32,35,50,65,78,102,116,127,141,173,203,246,300,330,343,350,387,436,477,519,545,562,569,630,661,706,741,785,813,932,992,1065,1114,1175,1229,1246,1264,1326,1377,1414,1447,1490,1508,1540,1578,1619,1646,1691,1741,1751,1765,1824,1864,1913,1941,1964,1976,1984,2004,2030,2068,2110,2125,2134
"Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,6,7,9,11,11,11,22,25,26,27,27,31,34,41,44,44,53,60,64,74,75,79,83,90,96,107,112,118,127,136,148,162,170,175,184,188,207,219,231,243,252,265,271,289,306,318,336,346,351,355,367,400,414,441,446,456,460,480,496,510,525,531,537
"Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,6,7,9,10,11,14,19,21,23,25,30,38,42,50,55,56,63,69,76,80,84,86,94,101,107,111,112,117,119,120,126,127,132,133,136,140,142,154,160,163,164,167,172,172,174,178,179,181,187,189,189,190,193,197,199,200,200,200,201,204,207,209,209,209,211
"Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,5,5,8,9,9,11,18,20,34,34,40,44,52,66,73,84,90,94,98,106,115,124,131,140,145,149,155,172,185,194,203,208,211,216,231,235,240,248,252,256,267,278,286,302,304,312,312,325,333,334,341,343,346,346,354,369,381,393,398,399,399,403,407,420,424,434,441,441
"Louisiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,10,16,20,34,46,65,83,119,137,152,186,240,273,310,370,412,477,512,582,652,702,755,806,840,884,1013,1103,1156,1213,1267,1296,1328,1405,1532,1599,1660,1703,1729,1740,1801,1845,1905,1970,1993,2012,2064,2115,2167,2208,2227,2267,2286,2308,2347,2381,2417,2448,2479,2491,2563,2581,2608,2629,2669,2683,2690,2690,2701,2722,2740,2766,2785,2791
"Maine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,7,7,9,10,10,10,12,14,16,17,19,19,19,20,24,27,29,32,34,35,36,39,44,47,50,50,51,51,52,53,55,56,57,57,61,62,62,63,64,64,65,65,66,69,69,70,70,71,73,73,73,75,77,78,78,79,81,84,85,89,89
"Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,4,4,5,10,11,15,18,33,36,42,54,68,92,104,124,139,172,207,236,262,302,413,459,494,534,548,582,652,698,748,798,875,910,945,1016,1078,1139,1192,1251,1281,1317,1390,1443,1503,1560,1614,1644,1683,1756,1809,1866,1911,1957,1992,2023,2081,2123,2159,2207,2243,2277,2302,2333,2392,2428,2466,2509,2532
