State	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22	X2020.01.21
Minnesota	34651	34158	33798	33501	33259	32952	32499	32063	31707	31328	30913	30724	30502	30203	29826	29347	28900	28534	28235	27897	27512	26991	26284	25881	25518	25218	24860	24200	23541	22957	22474	21969	21324	20582	19854	19014	18209	17679	17038	16372	15677	14969	14240	13443	12916	12493	11798	11270	10789	10087	9364	8579	7851	7234	6663	6228	5730	5136	4644	4181	3816	3602	3446	3185	2942	2721	2567	2470	2356	2213	2071	1912	1809	1695	1650	1621	1427	1335	1242	1154	1069	986	935	865	789	742	689	629	576	504	442	398	346	289	264	235	171	138	115	89	77	60	54	35	21	14	9	5	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mississippi	25066	24516	23424	22898	22287	21022	21022	21022	21022	20641	20152	19799	19516	19348	19091	18483	18483	18109	17768	17270	17034	16769	16560	16322	16020	15752	15501	15229	14790	14372	14044	13731	13458	13252	13005	12624	12222	11967	11704	11432	11296	11123	10801	10483	10090	9908	9674	9501	9378	9090	8686	8424	8207	7877	7550	7441	7212	6815	6569	6342	6094	5911	5718	5434	5153	4894	4716	4512	4274	3974	3793	3624	3360	3087	2942	2781	2642	2469	2260	2003	1915	1738	1638	1455	1358	1177	1073	937	848	759	669	579	486	376	320	249	207	140	80	50	34	21	12	10	6	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missouri	20567	20076	19478	19148	18733	18552	18155	17780	17488	17151	16930	16712	16384	16327	16111	15924	15662	15396	15159	14985	14659	14515	14286	14020	13822	13523	13297	13118	12949	12815	12624	12437	12296	12114	11922	11797	11657	11510	11369	11225	11069	10794	10567	10490	10369	10124	10025	9906	9737	9573	9409	9164	8919	8776	8454	8154	7840	7563	7426	7306	7171	6997	6826	6625	6321	6137	5941	5807	5667	5517	5283	5111	4895	4686	4388	4160	4024	3799	3539	3327	3037	2722	2367	2291	2113	1834	1580	1350	1049	902	837	670	508	384	255	183	130	93	73	35	21	16	9	5	5	4	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montana	829	803	766	743	734	717	698	666	655	630	614	609	601	588	573	563	561	554	548	545	540	539	537	525	523	519	515	505	493	485	481	479	479	479	479	479	479	478	471	470	468	468	466	462	462	461	459	458	458	458	456	456	456	456	454	454	452	452	451	451	449	448	445	444	442	439	437	433	433	426	422	415	404	399	394	387	377	365	354	332	319	319	298	281	262	241	219	198	177	161	147	121	90	65	51	45	34	29	19	19	12	8	8	6	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nebraska	18524	18346	18221	18092	17957	17810	17707	17591	17415	17226	17031	16860	16735	16634	16513	16315	16025	15888	15752	15634	15543	15379	15117	14866	14611	14345	14101	13905	13654	13261	12976	12619	12355	12134	11989	11662	11424	11119	10846	10625	10348	10220	9766	9411	9072	8732	8575	8328	8233	7830	7190	6771	6442	6123	5686	5332	4838	4332	3876	3613	3487	3126	2898	2474	2190	1826	1726	1646	1473	1348	1216	1094	994	930	870	805	718	678	594	538	491	438	377	339	297	273	249	199	185	138	122	102	91	84	77	73	62	61	53	47	43	36	33	31	29	27	24	23	17	16	16	14	14	13	13	13	13	13	13	13	13	13	13	12	11	11	11	11	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nevada	15359	14911	14460	14058	13575	13236	12977	12525	12164	11852	11673	11316	11199	10992	10704	10464	10216	10046	9815	9673	9494	9306	9118	8950	8858	8701	8628	8519	8375	8247	8150	8059	7959	7886	7769	7531	7404	7301	7169	7059	6935	6810	6733	6604	6482	6311	6152	6120	6046	5942	5858	5744	5665	5627	5473	5390	5249	5053	4934	4812	4708	4638	4539	4398	4208	4081	3937	3830	3710	3626	3524	3321	3212	3137	3036	2860	2720	2606	2456	2318	2101	1971	1880	1758	1549	1458	1279	1113	1044	920	738	621	535	405	315	265	190	165	165	99	82	55	45	26	21	19	11	7	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewHampshire	5671	5638	5598	5571	5558	5544	5518	5486	5450	5436	5364	5345	5318	5299	5251	5209	5178	5132	5079	5043	5019	4953	4876	4795	4749	4685	4651	4545	4492	4389	4286	4231	4197	4149	4089	4014	3935	3868	3721	3652	3596	3556	3464	3382	3299	3239	3160	3071	3011	2947	2843	2741	2636	2588	2518	2429	2310	2146	2054	2010	1938	1864	1793	1720	1670	1588	1491	1447	1392	1342	1287	1211	1139	1091	1020	985	929	885	819	788	747	715	669	621	540	479	415	367	314	258	214	187	158	137	108	101	78	65	55	44	39	26	17	13	7	7	6	5	5	4	4	4	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewJersey	172438	172050	169892	169734	169415	169142	168834	168496	168107	167703	167426	167103	166881	166605	166164	165816	165346	164796	164497	164164	163893	163336	162530	162068	161545	160918	160445	159608	158844	157815	156628	155764	155092	154154	153104	152719	151472	150399	149013	148039	146334	145089	143905	142704	141560	140743	139945	138532	137085	135454	133635	131890	130593	128269	126744	123717	121190	118652	116264	113856	111188	109038	105523	102196	99989	95865	92387	88806	85301	81420	78467	75317	71030	68824	64584	61850	58151	54588	51027	47437	44416	41090	37505	34124	29895	25590	22255	18696	16636	13386	11124	8825	6876	4402	3675	2844	1914	1336	896	735	427	268	176	98	75	50	29	23	15	11	6	4	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewMexico	11408	11192	10990	10838	10694	10565	10430	10260	10153	10065	9933	9845	9723	9621	9526	9368	9250	9105	9062	8940	8800	8672	8353	8140	8024	7800	7689	7624	7493	7364	7252	7130	7026	6943	6795	6625	6472	6338	6192	6096	5938	5847	5662	5503	5364	5212	5069	4863	4778	4673	4492	4290	4137	4030	3850	3732	3513	3411	3213	2975	2825	2728	2662	2524	2379	2210	2072	1971	1845	1798	1711	1597	1484	1407	1345	1245	1174	1090	989	865	794	686	624	544	495	403	363	315	282	237	210	191	136	113	100	83	65	57	43	35	28	23	21	17	13	10	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewYork	395972	395168	394430	393855	393257	392702	392037	391330	390536	389910	389349	388719	388096	387402	386490	385669	384945	384281	383591	382879	382102	381019	379977	378924	377881	376520	375575	374471	373108	371559	369801	368669	367625	366346	364745	362991	361313	359235	357757	356278	355037	353136	350951	348192	345828	343705	342267	340657	338519	335804	332931	329405	326659	324357	321833	318134	313575	309696	304994	300276	296991	292914	286901	276218	267932	261591	255932	251608	246741	240542	233293	225761	217130	205375	197973	191425	182990	172830	162036	151271	141703	133389	124085	115963	103689	93360	84364	76211	67504	59783	53517	44746	39058	33117	25704	20899	15188	10371	7113	4161	2387	1375	950	732	610	421	326	217	173	142	106	89	44	22	11	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
