69,68,75
2,4,5
68,73,77
78,75,77
77,75,68
7,4,1
7,5,4
9,5,7
60,55,65
65,64,60
82,83,87
87,86,82
82,86,85
84,83,81
55,52,50
57,55,60
57,52,55
72,67,71
72,62,67
58,65,55
61,73,68
68,59,61
22,26,20
83,82,80
80,81,83
79,75,78
79,81,75
62,72,70
73,61,70
70,61,62
65,58,63
63,58,59
63,68,69
63,59,68
62,61,56
20,14,17
17,22,20
28,22,24
26,22,28
69,75,74
65,63,66
12,17,14
12,14,9
9,7,12
15,18,16
55,50,47
47,50,44
34,43,39
43,47,39
44,37,39
39,47,44
59,58,51
31,28,34
34,39,31
31,39,37
31,37,26
26,28,31
15,16,11
81,80,76
75,81,76
76,74,75
24,22,19
22,17,19
21,18,23
21,16,18
24,19,21
21,19,16
3,6,8
8,12,7
1,3,8
8,7,1
49,47,43
55,47,49
49,58,55
49,51,58
30,28,24
34,28,30
12,8,13
16,19,13
17,12,13
13,19,17
45,49,43
51,49,45
45,48,51
53,56,54
54,48,53
51,48,54
54,56,61
54,61,59
59,51,54
24,21,27
27,30,24
32,30,27
27,25,32
27,21,23
23,25,27
32,25,33
33,38,32
16,13,10
10,13,8
10,8,6
6,11,10
10,11,16
35,30,32
35,45,43
35,43,34
34,30,35
48,45,40
40,38,48
45,35,40
32,38,40
40,35,32
48,38,46
53,48,46
36,42,41
41,33,36
38,33,41
41,46,38
29,33,25
