State	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22	X2020.01.21
Idaho	91	91	91	90	90	90	90	90	90	89	89	89	88	87	87	86	85	85	83	83	83	83	83	83	83	83	82	82	82	82	82	81	79	79	79	79	77	77	77	74	73	73	73	72	69	69	69	67	67	67	67	67	66	64	64	64	63	63	60	60	58	56	56	54	54	54	51	48	45	44	43	41	41	39	33	27	27	25	24	19	15	13	10	10	10	9	9	9	7	6	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	7059	7024	6986	6925	6889	6865	6846	6801	6737	6687	6608	6543	6512	6491	6469	6388	6302	6237	6142	5939	5898	5834	5772	5665	5567	5458	5426	5368	5308	5225	5118	4960	4912	4884	4817	4740	4634	4547	4399	4257	4198	4149	4075	3945	3815	3617	3480	3426	3362	3262	3139	2977	2843	2673	2632	2576	2464	2361	2221	2132	1992	1943	1884	1804	1696	1577	1479	1359	1302	1272	1142	1081	958	878	800	727	682	607	534	464	384	309	283	248	212	165	146	107	84	71	50	37	26	21	16	12	9	6	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indiana	2595	2586	2578	2569	2553	2540	2536	2516	2491	2475	2447	2433	2422	2413	2396	2380	2355	2339	2316	2303	2292	2258	2231	2207	2197	2142	2134	2125	2110	2068	2030	2004	1984	1976	1964	1941	1913	1864	1824	1765	1751	1741	1691	1646	1619	1578	1540	1508	1490	1447	1414	1377	1326	1264	1246	1229	1175	1114	1065	992	932	928	897	851	811	764	731	666	652	633	599	554	511	458	414	405	389	353	295	246	208	171	151	136	118	94	80	61	44	40	38	32	23	19	17	12	9	6	5	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iowa	704	702	694	690	687	686	685	681	680	677	670	661	652	651	650	641	638	629	623	606	602	597	590	574	564	558	537	531	525	510	496	480	460	456	446	441	414	400	367	355	351	346	336	318	306	289	271	265	252	243	231	219	207	188	184	175	170	162	148	136	127	118	112	107	96	90	83	79	75	74	64	60	53	44	44	41	34	31	27	27	26	25	22	11	11	11	9	7	6	4	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	266	263	262	261	260	258	257	254	252	248	246	246	244	244	243	242	241	238	237	234	234	233	230	227	227	217	211	209	209	209	207	204	201	200	200	200	199	197	193	190	189	189	187	181	179	178	174	172	172	167	164	163	160	154	142	140	136	133	132	127	126	120	119	117	112	111	107	101	94	86	84	80	76	69	63	56	55	50	42	38	30	25	23	21	19	14	11	10	9	7	6	4	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	575	569	561	559	549	544	542	542	540	536	530	524	524	524	524	513	498	494	487	481	480	476	469	458	451	445	441	441	434	424	420	407	403	399	399	398	393	381	369	354	346	346	343	341	334	333	325	312	312	304	302	286	278	267	256	252	248	240	235	231	216	211	208	203	194	185	172	155	149	145	140	131	124	115	106	98	94	90	84	73	66	52	44	40	34	34	20	18	11	9	9	8	5	5	3	3	3	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	3190	3164	3152	3134	3117	3105	3104	3084	3069	3062	3042	3018	3014	3004	2996	2987	2968	2957	2944	2936	2925	2912	2883	2870	2835	2801	2791	2785	2766	2740	2722	2701	2690	2690	2683	2669	2629	2608	2581	2563	2491	2479	2448	2417	2381	2347	2308	2286	2267	2227	2208	2167	2115	2064	2012	1993	1970	1905	1845	1801	1740	1729	1703	1660	1599	1532	1405	1328	1296	1267	1213	1156	1103	1013	884	840	806	755	702	652	582	512	477	412	370	310	275	240	186	153	137	119	83	65	46	34	20	16	10	10	7	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maine	103	103	103	102	102	102	102	102	102	102	101	101	100	100	100	100	100	100	99	99	98	98	95	95	94	89	89	89	85	84	81	79	78	78	77	75	73	73	73	71	70	70	69	69	66	65	65	64	64	63	62	62	61	57	57	56	55	53	52	51	51	50	50	47	44	39	36	35	34	32	29	27	24	20	19	19	19	17	16	14	12	10	10	10	9	7	7	5	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maryland	3142	3129	3108	3092	3074	3066	3052	3030	3016	2996	2982	2947	2939	2926	2900	2875	2844	2811	2776	2749	2740	2702	2668	2641	2597	2552	2532	2509	2466	2428	2392	2333	2302	2277	2243	2207	2159	2123	2081	2023	1992	1957	1911	1866	1809	1756	1683	1644	1614	1560	1503	1443	1390	1317	1281	1251	1192	1139	1078	1016	945	910	875	798	748	698	652	582	548	534	494	459	413	302	262	236	207	172	139	124	104	92	68	54	42	36	33	18	15	11	10	5	4	4	4	3	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massachusetts	8012	7962	7937	7889	7873	7857	7827	7799	7769	7733	7664	7646	7624	7576	7538	7492	7454	7408	7353	7316	7289	7235	7201	7152	7085	7035	6846	6768	6718	6640	6547	6473	6416	6372	6304	6228	6148	6066	5938	5862	5797	5705	5592	5482	5315	5141	5108	4979	4840	4702	4552	4420	4212	4090	4004	3846	3716	3562	3405	3153	3003	2899	2730	2556	2360	2182	1961	1809	1706	1560	1404	1245	1108	957	844	756	686	599	503	433	356	260	231	216	192	154	122	89	56	48	44	35	25	15	11	9	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
