date	infect
X2020.08.23	5713850
X2020.08.24	5754254
X2020.08.25	5793437
X2020.08.26	5838756
X2020.08.27	5884366
X2020.08.28	5930930
X2020.08.29	5975540
X2020.08.30	6008970
X2020.08.31	6045455
X2020.09.01	6089504
X2020.09.02	6121948
X2020.09.03	6168342
X2020.09.04	6220446
X2020.09.05	6262700
X2020.09.06	6292699
X2020.09.07	6317865
X2020.09.08	6346806
X2020.09.09	6380138
X2020.09.10	6418198
X2020.09.11	6465766
X2020.09.12	6504870
X2020.09.13	6538213
X2020.09.14	6575100
X2020.09.15	6614317
X2020.09.16	6653585
X2020.09.17	6698895
X2020.09.18	6747782
X2020.09.19	6789593
X2020.09.20	6825949
X2020.09.21	6880899
X2020.09.22	6918290
X2020.09.23	6959841
X2020.09.24	7005043
X2020.09.25	7059624
X2020.09.26	7102321
X2020.09.27	7139619
X2020.09.28	7176979
X2020.09.29	7220676
X2020.09.30	7262734
X2020.10.01	7309152
X2020.10.02	7362732
X2020.10.03	7410511
X2020.10.04	7445574
X2020.10.05	7507956
X2020.10.06	7550841
X2020.10.07	7603856
X2020.10.08	7660231
X2020.10.09	7719190
X2020.10.10	7770838
X2020.10.11	7815621
X2020.10.12	7863637
X2020.10.13	7917996
X2020.10.14	7977889
X2020.10.15	8043229
X2020.10.16	8113706
X2020.10.17	8166467
X2020.10.18	8214349
X2020.10.19	8279780
X2020.10.20	8340387
X2020.10.21	8404616
X2020.10.22	8479704
X2020.10.23	8564816
X2020.10.24	8643572
X2020.10.25	8703284
X2020.10.26	8777727
X2020.10.27	8852180
X2020.10.28	8934082
X2020.10.29	9024852
X2020.10.30	9124654
X2020.10.31	9208952
X2020.11.01	9283188
X2020.11.02	9376874
X2020.11.03	9469493
X2020.11.04	9577421
X2020.11.05	9698960
X2020.11.06	9831814
X2020.11.07	9957746
X2020.11.08	10061162
X2020.11.09	10191549
X2020.11.10	10331303
X2020.11.11	10474163
X2020.11.12	10637603
X2020.11.13	10819174
X2020.11.14	10978295
X2020.11.15	11113482
X2020.11.16	11280026
X2020.11.17	11441728
X2020.11.18	11614076
X2020.11.19	11801516
X2020.11.20	12000149
X2020.11.21	12172077
X2020.11.22	12313111
X2020.11.23	12492178
X2020.11.24	12670378
X2020.11.25	12851208
X2020.11.26	12954324
