State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Hawaii	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	16	16	16	16	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	6	6	6	5	4	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idaho	82	82	82	82	82	81	78	78	78	78	76	76	76	74	73	73	73	72	69	69	69	67	67	67	67	66	65	63	63	63	62	62	60	58	58	56	56	54	54	54	51	48	45	44	43	41	41	39	33	27	27	25	23	17	14	12	10	10	10	9	9	9	7	6	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	5390	5330	5269	5185	5082	4923	4884	4855	4790	4715	4607	4524	4377	4233	4176	4127	4057	3927	3791	3601	3458	3405	3347	3239	3110	2974	2838	2660	2616	2554	2456	2354	2214	2125	1983	1933	1875	1795	1688	1565	1468	1349	1290	1259	1132	1072	948	868	720	720	677	596	528	462	380	307	274	244	209	157	139	99	72	65	47	29	26	18	16	11	8	6	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indiana	1967	1944	1944	1905	1870	1849	1831	1824	1812	1791	1764	1716	1675	1621	1607	1596	1550	1506	1481	1444	1411	1379	1362	1328	1295	1264	1213	1151	1132	1115	1062	1007	963	943	910	879	843	817	789	750	708	673	641	616	582	552	515	473	440	412	392	367	332	304	269	244	210	185	154	133	111	90	75	57	47	44	35	29	24	19	14	9	5	5	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iowa	533	528	520	500	485	463	456	449	444	418	400	381	366	355	351	346	336	318	306	288	270	264	251	242	230	218	206	187	183	175	170	162	148	136	127	118	112	107	96	90	83	79	75	74	64	60	53	43	41	41	34	31	27	27	26	25	17	11	11	11	9	7	6	4	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	213	213	213	213	210	209	207	204	204	203	203	201	197	195	194	194	192	189	185	184	179	173	173	168	164	164	161	156	145	142	141	135	134	128	126	122	120	114	114	112	102	102	94	87	85	81	77	69	62	56	55	48	42	38	30	25	22	21	16	13	10	10	9	5	5	4	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	431	431	418	409	400	394	391	391	391	391	386	376	366	346	334	334	332	328	326	321	311	304	304	298	294	283	275	261	253	248	248	240	235	225	213	208	205	200	191	185	171	154	148	144	137	129	121	115	105	96	94	90	79	66	62	59	45	40	37	31	20	18	11	10	10	9	5	5	4	4	3	3	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	2686	2680	2680	2635	2616	2596	2585	2567	2560	2533	2505	2485	2457	2438	2423	2411	2381	2347	2313	2270	2232	2203	2186	2146	2128	2086	2035	1985	1964	1945	1922	1858	1798	1754	1695	1668	1643	1601	1540	1472	1405	1328	1296	1267	1213	1156	1101	1011	837	837	804	753	700	650	580	512	476	408	370	309	268	238	185	153	137	119	83	65	45	34	20	20	14	10	7	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maine	89	89	85	84	81	79	78	78	77	75	73	73	73	71	70	70	69	69	66	65	65	64	64	63	62	62	61	57	57	56	55	53	52	51	51	50	50	47	44	39	36	35	34	32	29	26	23	20	19	19	19	17	16	14	12	10	10	10	9	7	7	5	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maryland	2435	2407	2362	2362	2335	2314	2310	2148	2087	2044	1999	1949	1898	1840	1815	1772	1723	1674	1625	1558	1489	1467	1429	1377	1327	1277	1223	1162	1136	1092	1008	985	924	849	800	708	695	592	592	544	489	446	421	371	347	392	331	292	235	235	206	171	138	124	103	91	67	53	41	35	30	17	15	15	10	5	4	4	4	3	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
